id,kepid,koi_name,kepler_name,disposition,pdisposition,score,period,radius_planet,temp_planet_eq,insolation,duration,depth,model_snr,temp_star_eq,radius_star,mag_star,ra,dec,star_type
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.989,60.4189369,2.36,390.0,5.49,5.039,931.3,20.1,5354.0,0.788,15.339,296.36652,51.319519,Sun-like
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1.0,12.611904345,7.4,753.0,76.15,5.1497,6105.6,277.2,5795.0,0.919,15.14,289.11221,51.737381,Sun-like
81,2445129,K00793.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,10.31872301,28.59,876.0,139.26,3.836,871.7,38.2,5927.0,1.06,15.065,291.84891,37.713501,Sun-like
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1.0,2.539183147,2.06,1332.0,743.09,2.4282,382.1,38.9,5519.0,1.062,15.026,291.43997,37.905659,Sun-like
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1.0,6.770300385,2.77,812.0,102.87,2.0844,1304.0,50.8,5653.0,0.679,15.591,290.87051,38.273628,Sun-like
85,3115833,K00797.01,Unnamed,CANDIDATE,CANDIDATE,1.0,10.181584004,7.73,812.0,102.91,3.5089,5741.1,183.6,5988.0,0.836,15.657,291.28195,38.241669,Sun-like
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1.0,20.06036336,1.96,361.0,4.0,3.3203,1494.7,35.2,3950.0,0.493,15.954,286.07913,39.27832,Orange
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1.0,46.1842039,1.83,273.0,1.32,4.758,1394.7,26.0,3950.0,0.493,15.954,286.07913,39.27832,Orange
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.952,23.9800854,1.31,649.0,41.94,5.351,104.0,17.1,5854.0,1.012,12.882,300.86398,44.337551,Sun-like
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.994,7.82502168,1.2,494.0,14.05,2.186,520.8,15.9,3950.0,0.493,15.954,286.07913,39.27832,Orange
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1.0,3.895936525,7.34,1005.0,241.62,2.3111,8544.8,370.8,5557.0,0.774,15.725,294.65524,39.308361,Sun-like
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.999,22.36646466,2.32,536.0,19.45,5.228,986.8,32.1,5395.0,0.734,15.583,294.71063,39.52174,Sun-like
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.0,1.625522174,9.73,1579.0,1467.41,2.38963,7969.0,799.7,5539.0,1.106,15.001,293.87192,38.422939,Sun-like
93,3453214,K00802.01,Unnamed,CANDIDATE,CANDIDATE,1.0,19.620346923,13.6,643.0,40.39,2.0038,21725.0,340.5,5710.0,0.905,15.562,293.81619,38.563568,Sun-like
94,3554600,K00803.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,7.544039,17.47,838.0,116.46,6.222,322.6,14.2,5657.0,0.824,15.559,293.94116,38.601101,Sun-like
95,3641726,K00804.01,Unnamed,CANDIDATE,CANDIDATE,1.0,9.02930689,2.57,757.0,77.75,3.1449,1019.8,53.9,5349.0,0.82,15.387,290.33362,38.72823,Sun-like
96,3734868,K00805.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.053,10.328035714,13.28,843.0,119.31,7.7915,16918.0,636.8,5627.0,1.024,15.646,287.69675,38.886452,Sun-like
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1.0,143.2063047,8.9,308.0,2.14,8.9302,10566.0,138.8,5485.0,0.867,15.403,285.28363,38.947281,Sun-like
